Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides TMT_BP123	Peptides TMT_BP456	Razor + unique peptides TMT_BP123	Razor + unique peptides TMT_BP456	Unique peptides TMT_BP123	Unique peptides TMT_BP456	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 TMT_BP123	Reporter intensity corrected 2 TMT_BP123	Reporter intensity corrected 3 TMT_BP123	Reporter intensity corrected 4 TMT_BP123	Reporter intensity corrected 5 TMT_BP123	Reporter intensity corrected 6 TMT_BP123	Reporter intensity corrected 1 TMT_BP456	Reporter intensity corrected 2 TMT_BP456	Reporter intensity corrected 3 TMT_BP456	Reporter intensity corrected 4 TMT_BP456	Reporter intensity corrected 5 TMT_BP456	Reporter intensity corrected 6 TMT_BP456	Reporter intensity 1 TMT_BP123	Reporter intensity 2 TMT_BP123	Reporter intensity 3 TMT_BP123	Reporter intensity 4 TMT_BP123	Reporter intensity 5 TMT_BP123	Reporter intensity 6 TMT_BP123	Reporter intensity 1 TMT_BP456	Reporter intensity 2 TMT_BP456	Reporter intensity 3 TMT_BP456	Reporter intensity 4 TMT_BP456	Reporter intensity 5 TMT_BP456	Reporter intensity 6 TMT_BP456	Reporter intensity count 1 TMT_BP123	Reporter intensity count 2 TMT_BP123	Reporter intensity count 3 TMT_BP123	Reporter intensity count 4 TMT_BP123	Reporter intensity count 5 TMT_BP123	Reporter intensity count 6 TMT_BP123	Reporter intensity count 1 TMT_BP456	Reporter intensity count 2 TMT_BP456	Reporter intensity count 3 TMT_BP456	Reporter intensity count 4 TMT_BP456	Reporter intensity count 5 TMT_BP456	Reporter intensity count 6 TMT_BP456	Sequence coverage TMT_BP123 [%]	Sequence coverage TMT_BP456 [%]	Intensity	Intensity TMT_BP123	Intensity TMT_BP456	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P35611;P35612	P35611	9;1	9;1	9;1	Alpha-adducin	ADD1	sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2	2	9	9	9	5	8	5	8	5	8	18.7	18.7	18.7	80.954	737	737;726	1.61	7	11	0	28.356	177430	185160	189790	203950	212360	188070	168090	184640	199790	201830	214340	182600	18	18	18	18	18	18	75945	89203	68497	100250	87583	69496	101490	95957	121290	103700	124770	118580	71992	88080	74730	97568	88844	67740	96097	96557	125060	104260	125500	114860	8	8	8	8	8	8	10	10	10	10	10	10	8.4	17.5	155970000	72205000	83763000	18				1135	6320;7663;10275;10279;14276;17653;27185;27859;28710	True;True;True;True;True;True;True;True;True	6316;7662;10281;10285;14296;17678;27219;27895;28750	17924;17925;21551;29118;29125;29126;41012;41013;50585;77201;77202;77203;77204;79204;79205;79206;79207;81721	18474;18475;22161;29982;29989;29990;42363;42364;52227;79467;79468;79469;79470;81632;81633;81634;81635;84222	18475;22161;29982;29990;42363;52227;79470;81635;84222		
P35613	P35613	10	10	10	Basigin	BSG	sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2	1	10	10	10	9	10	9	10	9	10	33.8	33.8	33.8	42.2	385	385	1.58	15	21	0	55.342	1090300	922290	924310	1257000	1062900	965440	1031900	931260	985370	1225100	1082700	936540	36	36	36	36	34	36	361350	415380	373810	630160	385780	310780	728920	506910	550500	626880	677120	654670	342500	411370	406100	605690	399100	302730	689370	519890	579270	619360	683600	633810	17	17	17	17	16	17	19	19	19	19	18	19	29.1	33.8	1716700000	674700000	1042000000	36				1136	5285;7980;12822;13817;21134;21925;21975;23080;23119;25745	True;True;True;True;True;True;True;True;True;True	5281;7980;12840;13836;21161;21952;22002;23104;23143;25774	14962;14963;14964;22439;22440;36998;36999;39821;39822;39823;60130;60131;60132;60133;62207;62349;62350;62351;62352;65420;65421;65422;65423;65424;65425;65538;65539;65540;65541;65542;65543;65544;73078;73079;73080;73081	15414;15415;15416;23054;23055;38193;38194;41145;41146;41147;61951;61952;61953;61954;64049;64192;64193;64194;64195;67375;67376;67377;67378;67379;67380;67493;67494;67495;67496;67497;67498;67499;75244;75245;75246;75247	15414;23055;38193;41145;61953;64049;64194;67379;67499;75245		
P35625	P35625	1	1	1	Metalloproteinase inhibitor 3	TIMP3	sp|P35625|TIMP3_HUMAN Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2	1	1	1	1	0	1	0	1	0	1	9.5	9.5	9.5	24.145	211	211	1	1		0	3.3433	7707.6	6257.4	8563.4	6744.5	7203.6	8522.2	7293.4	6368.4	8764.4	6787	7333.6	8204	1	1	1	1	1	1	0	0	0	0	0	0	7707.6	6257.4	8563.4	6744.5	7203.6	8522.2	0	0	0	0	0	0	7293.4	6368.4	8764.4	6787	7333.6	8204	0	0	0	0	0	0	1	1	1	1	1	1	0	9.5	3522500	0	3522500	1				1137	18241	True	18263	52189	53867	53867		
P35637	P35637	6	6	5	RNA-binding protein FUS	FUS	sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1	1	6	6	5	6	6	6	6	5	5	13.9	13.9	13.9	53.425	526	526	1.57	13	17	0	30.696	621980	855300	814230	744080	916470	773730	590190	840640	855800	746380	917810	752480	24	24	24	24	24	24	238730	493760	383400	453360	492310	424760	383250	361550	430830	290720	424160	348970	227300	477150	413490	447560	495680	412770	362890	363490	442310	298820	422120	339700	12	12	12	12	12	12	12	12	12	12	12	12	13.9	13.9	1940200000	912630000	1027600000	24				1138	1908;3129;9124;15520;18242;24174	True;True;True;True;True;True	1900;1901;3116;9126;15544;18264;24199	5371;5372;5373;5374;5375;5376;5377;5378;8788;8789;25771;25772;25773;25774;25775;25776;44691;44692;44693;44694;44695;44696;52190;52191;52192;68505;68506;68507;68508;68509	5541;5542;5543;5544;5545;5546;5547;5548;9041;9042;26544;26545;26546;26547;26548;26549;46206;46207;46208;46209;46210;46211;53868;53869;53870;70550;70551;70552;70553;70554	5545;9041;26548;46211;53868;70550	75	464
P35658	P35658	13	13	13	Nuclear pore complex protein Nup214	NUP214	sp|P35658|NU214_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2	1	13	13	13	10	11	10	11	10	11	8.5	8.5	8.5	213.62	2090	2090	1.5	11	11	0	43.507	292300	303420	324700	320840	356420	329570	276900	302850	339750	319370	359270	319530	21	21	21	21	21	21	138690	137180	111280	145610	140950	116860	153610	166240	213420	175230	215480	212710	131360	136800	120180	142660	142450	113720	145550	166050	219570	176710	216820	205800	10	10	10	10	10	10	11	11	11	11	11	11	6.6	7.2	291460000	119540000	171910000	22				1139	4515;6072;7292;7774;11091;15099;16036;21847;23246;23989;24923;25061;25606	True;True;True;True;True;True;True;True;True;True;True;True;True	4506;6068;7289;7774;11101;15121;16065;21875;23270;24013;24949;25088;25634	12724;17205;20485;20486;21855;21856;31687;31688;43449;43450;46118;62001;62002;62003;65850;65851;67943;70677;71060;71061;72685;72686	13121;17744;21079;21080;22466;22467;32655;32656;44910;44911;47675;63842;63843;63844;67811;67812;69973;72768;73155;73156;74838;74839	13121;17744;21079;22467;32656;44911;47675;63843;67812;69973;72768;73156;74838		
P35659	P35659	8	8	8	Protein DEK	DEK	sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1	1	8	8	8	6	8	6	8	6	8	18.1	18.1	18.1	42.674	375	375	1.39	14	9	0	23.746	612220	665630	786840	742910	922080	778130	580100	663740	817570	743830	923170	756770	23	23	23	23	23	23	232990	319700	274030	364940	381660	290180	379230	345920	512810	377970	540430	487950	221080	313820	295180	358090	383580	283310	359030	349920	522400	385730	539590	473450	10	10	10	10	10	10	13	13	13	13	13	13	14.1	18.1	1041800000	436150000	605670000	23				1140	13134;13790;14179;15927;19090;22228;22294;27614	True;True;True;True;True;True;True;True	13152;13809;14199;15952;19115;22253;22320;27650	37883;39754;39755;40773;40774;40775;40776;45750;45751;45752;45753;54709;54710;63045;63046;63266;63267;63268;78533;78534;78535;78536;78537	39123;41078;41079;42120;42121;42122;42123;47296;47297;47298;47299;56460;56461;64959;64960;65185;65186;65187;80954;80955;80956;80957;80958	39123;41078;42123;47298;56461;64960;65187;80957		
P35713;Q9H6I2;P57073;P48436	P35713;Q9H6I2;P57073;P48436	1;1;1;1	1;1;1;1	1;1;1;1	Transcription factor SOX-18;Transcription factor SOX-17;Transcription factor SOX-8;Transcription factor SOX-9	SOX18;SOX17;SOX8;SOX9	sp|P35713|SOX18_HUMAN Transcription factor SOX-18 OS=Homo sapiens OX=9606 GN=SOX18 PE=1 SV=2;sp|Q9H6I2|SOX17_HUMAN Transcription factor SOX-17 OS=Homo sapiens OX=9606 GN=SOX17 PE=1 SV=1;sp|P57073|SOX8_HUMAN Transcription factor SOX-8 OS=Homo sapiens OX=960	4	1	1	1	1	1	1	1	1	1	2.3	2.3	2.3	40.891	384	384;414;446;509	2		4	0.0031504	2.0407	55189	62870	57604	66982	67351	68301	52308	62305	61303	66000	68365	66031	4	4	4	4	4	4	27425	35755	25655	36879	32956	33537	27764	27115	31949	30104	34395	34764	26014	35106	28117	35939	33636	32419	26294	27200	33186	30060	34729	33612	2	2	2	2	2	2	2	2	2	2	2	2	2.3	2.3	111980000	53321000	58663000	4				1141	21290	True	21319	60564;60565;60566;60567	62393;62394;62395;62396	62394		
P35790	P35790	2	2	2	Choline kinase alpha	CHKA	sp|P35790|CHKA_HUMAN Choline kinase alpha OS=Homo sapiens OX=9606 GN=CHKA PE=1 SV=3	1	2	2	2	2	0	2	0	2	0	9.4	9.4	9.4	52.248	457	457	2		2	0	3.8953	9068.7	12190	10549	12061	15009	10234	8603.8	11978	11275	11975	14945	10037	2	2	2	2	2	2	9068.7	12190	10549	12061	15009	10234	0	0	0	0	0	0	8603.8	11978	11275	11975	14945	10037	0	0	0	0	0	0	2	2	2	2	2	2	0	0	0	0	0	0	9.4	0	5675600	5675600	0	2				1142	9447;21157	True;True	9451;21184	26766;60184	27561;62005	27561;62005		
P35914;Q8TB92	P35914	10;2	10;2	10;2	Hydroxymethylglutaryl-CoA lyase, mitochondrial	HMGCL	sp|P35914|HMGCL_HUMAN Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2	2	10	10	10	7	9	7	9	7	9	35.1	35.1	35.1	34.36	325	325;370	1.27	19	7	0	32.984	467430	480480	532630	484940	590500	510950	442790	480090	554500	486200	592010	496490	25	25	25	25	25	25	233900	243020	198490	243000	260850	201750	233540	237460	334150	241950	329650	309200	221580	241680	213610	239430	262000	196840	221210	238410	340900	246770	330020	299650	11	11	11	11	11	11	14	14	14	14	14	14	28.3	31.1	647100000	258900000	388200000	26				1143	268;3704;7568;10733;12938;13780;15354;15618;18500;27936	True;True;True;True;True;True;True;True;True;True	262;3692;7567;10743;12956;13799;15378;15642;18522;27972	684;685;10383;10384;21288;30559;30560;30561;30562;37375;39732;44196;44197;44198;44936;44937;44938;44939;44940;44941;52923;52924;52925;52926;52927;79440	690;691;10659;10660;21889;31506;31507;31508;31509;38587;41056;45685;45686;45687;46457;46458;46459;46460;46461;46462;54607;54608;54609;54610;54611;81876	691;10659;21889;31509;38587;41056;45685;46458;54607;81876		
P35998	P35998	18	18	18	26S protease regulatory subunit 7	PSMC2	sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3	1	18	18	18	15	16	15	16	15	16	55	55	55	48.633	433	433	1.54	27	32	0	87.445	1101900	1125900	1188800	1239900	1389900	1229200	1043800	1124500	1248000	1231400	1398700	1193500	58	58	58	58	58	58	574780	620360	498790	670470	646310	518820	527100	505500	690010	569380	743600	710360	544610	615540	539840	656180	652770	505490	499140	508940	708120	575190	745890	688000	28	28	28	28	28	28	30	30	30	30	30	30	45.3	50.6	1661400000	711210000	950160000	59				1144	388;5308;6353;7089;7566;7817;8720;11665;12104;13565;20624;20688;23383;24623;25344;26296;26594;28832	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	382;5304;6349;7086;7565;7817;8722;11677;12117;13584;20650;20714;23407;24649;25372;26327;26627;28872	1033;1034;1035;1036;15021;15022;15023;15024;18003;18004;18005;18006;19950;21283;21284;21962;21963;24628;24629;24630;33523;33524;33525;33526;33527;33528;34820;34821;39167;58747;58748;58749;58750;58751;58752;58912;58913;58914;58915;66207;69840;69841;69842;69843;69844;69845;71925;71926;71927;71928;74695;75588;75589;75590;75591;75592;82080;82081;82082	1085;1086;1087;1088;15473;15474;15475;15476;18553;18554;18555;18556;20540;21884;21885;22573;22574;25385;25386;25387;34576;34577;34578;34579;34580;34581;35900;35901;40474;60540;60541;60542;60543;60544;60545;60706;60707;60708;60709;68171;71925;71926;71927;71928;71929;71930;74051;74052;74053;74054;76879;77825;77826;77827;77828;77829;84588;84589;84590	1088;15476;18555;20540;21885;22574;25387;34577;35901;40474;60545;60707;68171;71926;74053;76879;77828;84590		
P36404	P36404	1	1	1	ADP-ribosylation factor-like protein 2	ARL2	sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4	1	1	1	1	1	1	1	1	1	1	5.4	5.4	5.4	20.878	184	184	2		2	0.0013699	2.6309	2379.3	2103.4	2221.4	2070.2	3165.2	2256.8	2252.3	2119.3	2324.4	2091.3	3134.2	2209.1	2	2	2	2	2	2	957.25	1000.9	810.78	1050.9	1334.5	929.07	1422.1	1102.5	1410.6	1019.2	1830.7	1327.7	906.86	994.94	876.74	1039	1328.5	910.36	1345.4	1124.3	1447.7	1052.3	1805.8	1298.7	1	1	1	1	1	1	1	1	1	1	1	1	5.4	5.4	11536000	5874200	5661800	2				1145	6511	True	6507	18454;18455	19023;19024	19023		
P36405	P36405	3	3	3	ADP-ribosylation factor-like protein 3	ARL3	sp|P36405|ARL3_HUMAN ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2	1	3	3	3	1	3	1	3	1	3	26.9	26.9	26.9	20.455	182	182	1.75	1	3	0	9.4276	28524	27579	29704	24589	36926	30234	27012	27642	30893	24982	36713	29436	4	4	4	4	4	4	9567.3	9524.4	7177.4	7876.5	10460	8164.2	18957	18055	22526	16712	26466	22070	9061.4	9486.4	7740	7855.3	10426	7962.9	17951	18156	23153	17126	26286	21473	1	1	1	1	1	1	3	3	3	3	3	3	12.1	26.9	15910000	4370600	11540000	4				1146	16118;19615;20992	True;True;True	16147;19640;21019	46326;56098;56099;59734	47883;57860;57861;61549	47883;57861;61549		
P36507	P36507	7	3	3	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1	1	7	3	3	7	4	3	1	3	1	22.2	8.8	8.8	44.424	400	400	1.5	2	2	0	9.9533	60954	62649	60287	61353	70508	57439	57740	62470	63590	61063	70723	55934	4	4	4	4	4	4	45333	49277	42310	47802	49607	37633	15621	13372	17977	13550	20902	19806	42955	48914	45174	47209	49870	36746	14785	13555	18417	13855	20853	19188	3	3	3	3	3	3	1	1	1	1	1	1	22.2	13	43105000	28322000	14783000	4				1147	4746;13656;14519;15395;16085;21161;21986	False;True;False;False;True;False;True	4738;13675;14540;15419;16114;21188;22013	13381;13382;13383;13384;39392;41720;41721;41722;41723;44288;46237;46238;60195;60196;60197;62391	13796;13797;13798;13799;40708;43089;43090;43091;43092;45777;47794;47795;62016;62017;62018;64234	13798;40708;43089;45777;47794;62016;64234		
P36542	P36542	9	9	9	ATP synthase subunit gamma, mitochondrial	ATP5C1	sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1	1	9	9	9	7	9	7	9	7	9	30.2	30.2	30.2	32.996	298	298	1.05	20	1	0	26.539	574350	545510	603340	524110	633170	556790	543860	547560	626990	526670	635270	540730	21	21	21	21	21	21	180590	198250	156510	198810	172010	138840	393760	347260	446830	325300	461160	417950	171130	196490	169010	194450	174650	135250	372730	351070	457990	332230	460620	405480	8	8	8	8	8	8	13	13	13	13	13	13	23.5	30.2	957670000	359630000	598040000	21				1148	7505;9739;11085;13077;16810;17903;18112;21985;24240	True;True;True;True;True;True;True;True;True	7504;9744;11095;13095;16840;17924;18134;22012;24265	21126;21127;21128;27580;31669;31670;31671;31672;31673;37746;37747;48224;48225;51232;51233;51819;62389;62390;68710;68711;68712	21724;21725;21726;28400;32637;32638;32639;32640;32641;38976;38977;49806;49807;52885;52886;53493;64232;64233;70772;70773;70774	21725;28400;32640;38976;49807;52886;53493;64232;70774		
P36543;Q96A05	P36543	4;1	4;1	4;1	V-type proton ATPase subunit E 1	ATP6V1E1	sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1	2	4	4	4	3	4	3	4	3	4	22.6	22.6	22.6	26.145	226	226;226	1.5	6	6	0	13.199	170000	170480	197500	169380	219030	186930	161020	170700	204670	170720	219040	181730	12	12	12	12	12	12	62730	72757	67595	75736	79980	65879	107270	97724	129900	93642	139050	121050	59461	72051	71755	74852	80518	64126	101560	98650	132920	95867	138530	117600	6	6	6	6	6	6	6	6	6	6	6	6	17.7	22.6	145750000	66459000	79295000	12				1149	2172;11144;12624;14636	True;True;True;True	2164;11154;12641;14657	6151;6152;6153;6154;6155;31874;31875;36409;42087;42088;42089;42090	6335;6336;6337;6338;6339;32851;32852;37585;43513;43514;43515;43516	6335;32852;37585;43515		
P36551	P36551	10	10	10	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	CPOX	sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3	1	10	10	10	9	10	9	10	9	10	33.7	33.7	33.7	50.151	454	454	1.61	13	20	0	45.86	588950	652920	771930	680950	867030	737180	558120	650410	799930	684820	867440	716750	29	32	32	31	31	32	289760	352500	319590	384230	400150	329540	299190	300420	452340	296720	466880	407630	274730	348160	341000	378450	403060	320780	283380	302260	458930	306370	464380	395970	13	15	15	15	14	15	16	17	17	16	17	17	29.5	33.7	640960000	282710000	358250000	33				1150	2494;4965;5003;9603;10779;11784;13321;17428;27724;28825	True;True;True;True;True;True;True;True;True;True	2480;4958;4997;9608;10789;11796;13340;17454;27760;28865	7041;7042;7043;7044;14031;14032;14154;14155;14156;14157;14158;14159;14160;27206;27207;27208;27209;27210;30714;30715;33871;33872;38436;49995;49996;49997;78828;78829;78830;78831;82055;82056;82057	7248;7249;7250;7251;14461;14462;14589;14590;14591;14592;14593;14594;14595;28016;28017;28018;28019;28020;31662;31663;34932;34933;39690;51626;51627;51628;81250;81251;81252;81253;84563;84564;84565	7250;14461;14591;28020;31662;34932;39690;51628;81252;84564		
P36578	P36578	19	19	19	60S ribosomal protein L4	RPL4	sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	1	19	19	19	18	19	18	19	18	19	45.4	45.4	45.4	47.697	427	427	1.34	59	30	0	85.746	2326500	2337100	2409600	2500500	2789500	2442800	2203600	2335700	2532500	2483700	2806800	2372600	91	91	91	91	91	91	1141300	1306700	1027700	1378500	1266900	1022700	1185200	1030500	1381900	1122000	1522600	1420100	1081800	1292200	1113700	1347600	1282500	996220	1121800	1043500	1418700	1136200	1524200	1376400	44	44	44	44	44	44	47	47	47	47	47	47	43.8	45.4	12124000000	5463800000	6660300000	91				1151	3;1906;5214;7791;10019;11731;13632;13883;14178;14401;14595;17602;18506;20375;21076;21472;22186;22797;27994	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3;1898;5209;7791;10024;11743;13651;13903;14198;14422;14616;17627;18528;20401;21103;21501;22212;22822;28030	5;6;7;5359;5360;5361;5362;5363;5364;5365;5366;5367;5368;14774;21891;21892;21893;21894;21895;28397;28398;33719;33720;33721;33722;33723;33724;33725;33726;33727;33728;39311;39312;39313;39314;39315;39316;39317;40017;40018;40019;40020;40021;40022;40770;40771;40772;41375;41376;41377;41378;41379;41380;41381;41382;41975;41976;41977;50441;50442;50443;52952;52953;52954;52955;58125;58126;58127;58128;58129;59964;59965;61045;61046;61047;61048;61049;61050;62945;62946;62947;62948;62949;64644;64645;79587;79588;79589;79590	5;6;7;5528;5529;5530;5531;5532;5533;5534;5535;5536;5537;5538;15225;22502;22503;22504;22505;22506;29232;29233;34777;34778;34779;34780;34781;34782;34783;34784;34785;34786;34787;40623;40624;40625;40626;40627;40628;40629;41355;41356;41357;41358;41359;41360;42117;42118;42119;42740;42741;42742;42743;42744;42745;42746;42747;43401;43402;43403;52082;52083;52084;54638;54639;54640;54641;59910;59911;59912;59913;59914;61784;61785;62878;62879;62880;62881;62882;62883;64855;64856;64857;64858;64859;66588;66589;82023;82024;82025;82026	7;5528;15225;22502;29232;34777;40624;41358;42119;42745;43402;52082;54640;59914;61784;62881;64858;66588;82026		
P36776	P36776	23	23	23	Lon protease homolog, mitochondrial	LONP1	sp|P36776|LONM_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2	1	23	23	23	17	21	17	21	17	21	37.1	37.1	37.1	106.49	959	959	1.59	27	39	0	128.67	1085100	1154800	1330300	1210900	1456700	1248900	1028000	1152300	1381900	1213500	1460700	1213900	65	65	65	65	65	65	465410	563490	500970	615940	600890	493200	619670	591270	829360	594990	855830	755650	441260	556530	535690	605010	606930	480140	586780	595790	846200	608490	853780	733760	29	29	29	29	29	29	36	36	36	36	36	36	27.3	33.8	1429600000	607820000	821800000	66				1152	1113;2003;3467;3488;3720;3859;6046;7209;10722;11569;12233;13009;15174;16677;17434;17622;19368;20120;20897;23965;27412;28516;28741	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1104;1996;3454;3475;3708;3847;6042;7206;10732;11581;12248;13027;15197;16707;17460;17646;19393;20145;20923;23989;27447;28553;28781	3123;3124;5668;5669;5670;5671;5672;9708;9773;10432;10815;10816;17115;17116;17117;20246;20247;20248;20249;20250;20251;20252;30502;30503;30504;30505;30506;30507;30508;30509;30510;33207;33208;35258;35259;35260;35261;35262;37566;43679;43680;47872;50007;50008;50491;55444;55445;57417;57418;57419;57420;59466;67884;77858;77859;77860;77861;77862;77863;77864;77865;81159;81160;81811;81812;81813	3218;3219;5842;5843;5844;5845;5846;9970;10036;10708;11094;11095;17651;17652;17653;20839;20840;20841;20842;20843;20844;20845;31431;31432;31433;31434;31435;31436;31437;31438;31439;34229;34230;36357;36358;36359;36360;36361;38782;45153;45154;49449;51638;51639;52132;57202;57203;59192;59193;59194;59195;61275;69912;80135;80136;80137;80138;80139;80140;80141;80142;83636;83637;84312;84313;84314	3219;5845;9970;10036;10708;11094;17651;20841;31432;34229;36360;38782;45153;49449;51639;52132;57202;59194;61275;69912;80139;83637;84313		
P36871	P36871	17	17	17	Phosphoglucomutase-1	PGM1	sp|P36871|PGM1_HUMAN Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3	1	17	17	17	13	16	13	16	13	16	41.1	41.1	41.1	61.448	562	562	1.58	22	30	0	64.724	1488000	1539500	1665600	1561500	1772500	1531800	1409600	1537100	1737900	1559600	1781600	1488500	51	50	52	52	52	51	678050	709200	576890	766910	699890	574650	809970	830310	1088700	794580	1072600	957140	642360	704960	623250	749750	709100	559420	767250	832130	1114700	809810	1072500	929070	25	24	26	26	26	25	26	26	26	26	26	26	33.1	35.8	2863800000	1316700000	1547000000	52				1153	515;4018;5078;6437;10920;11444;13968;16627;16976;19651;20418;22109;22697;24808;26005;27201;28111	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	507;4007;5072;6433;10930;11456;13988;16657;17006;19676;20444;22136;22721;24834;26036;27235;28147	1393;1394;1395;1396;11296;11297;11298;14393;14394;18242;31146;31147;32875;40226;47726;47727;48710;56201;56202;56203;56204;56205;56206;58227;58228;58229;58230;62722;62723;62724;62725;64374;64375;64376;70367;70368;70369;70370;70371;73839;73840;73841;73842;73843;73844;73845;77244;77245;79922;79923;79924;79925	1447;1448;1449;1450;11584;11585;11586;14839;14840;18795;32099;32100;33895;41567;49303;49304;50298;57963;57964;57965;57966;57967;57968;60013;60014;60015;60016;64580;64581;64582;64583;66304;66305;66306;72455;72456;72457;72458;72459;76013;76014;76015;76016;76017;76018;76019;79511;79512;82365;82366;82367;82368	1450;11585;14840;18795;32099;33895;41567;49303;50298;57965;60015;64583;66304;72457;76016;79512;82367		
P36873	P36873	11	2	2	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	PPP1CC	sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1	1	11	2	2	10	10	1	2	1	2	51.4	13	13	36.983	323	323	1.33	2	1	0	5.8473	6319.7	6723.2	8269.6	7513.8	9570.2	7998.5	5987.6	6716.6	8561.9	7544.6	9570.3	7781.6	3	3	3	3	3	3	1158.2	1417.1	960.06	1152.6	1398.9	927.44	5161.5	5306.2	7309.5	6361.2	8171.3	7071	1098.2	1394.6	1048.8	1141.6	1393.3	910.7	4889.4	5321.9	7513.1	6402.9	8176.9	6870.9	1	1	1	1	1	1	2	2	2	2	2	2	41.2	48.3	11617000	4444300	7172600	3				1154	1177;9959;10803;11591;11810;12427;13076;14954;16040;24081;28610	False;False;False;False;False;True;False;False;True;False;False	1166;9964;10813;11603;11822;12444;13094;14975;16069;24106;28648	3293;3294;3295;3296;28213;28214;28215;28216;28217;28218;28219;28220;30766;30767;30768;30769;33273;33274;33275;33276;33277;33988;33989;33990;33991;35845;37745;42975;42976;46127;46128;68227;68228;68229;68230;68231;68232;81446;81447	3389;3390;3391;3392;29044;29045;29046;29047;29048;29049;29050;29051;31716;31717;31718;31719;34295;34296;34297;34298;34299;35051;35052;35053;35054;36995;38975;44405;44406;47684;47685;70262;70263;70264;70265;70266;70267;70268;83933;83934	3389;29048;31716;34298;35051;36995;38975;44406;47684;70263;83934		
